Numero de producto;Nombre de producto;Unidad de medida de ventas;Nombre Grupo
3000920;ROLLO MANUAL 15x15x300 BYCSA;Und;ROLLOS FABRICADOS
3001538;OPTIUM AIR SCREW X 1 GAL;Und;LUBRICANTES FABRICAD
3000971;OPTIUM REC 46 X 05 GAL;Und;LUBRICANTES FABRICAD
3000417;OPTIUM GREASE BEN 460 x 16 KGS;Und;LUBRICANTES COMERCIA
3000870;SERVICIOS DE ANALISIS DE LUBRICANTES;Und;LUBRICANTES FABRICAD
3000573;ROLLO YUMBO 45x15x4500 BYCSA;Und;ROLLOS FABRICADOS
3000195;CLORURO DE NIQUEL X 25 KGS;KGS;SALES
5000105;CALENTADOR  CABEZAL SLOT;Und;REPUESTOS HOT MELT
5001019;DRIVE MAGNET 1040;Und;RPTO LINEA GALVANICA
5001244;ACCESORIO RELAYKIT,FLTR+CAP,150MESH M20 SPIN-ON - STAINLESS STEEL MESH FILT;Und;REPUESTOS HOT MELT
3000536;ROLLO MANUAL 15x12x1800 BYCSA;Und;ROLLOS FABRICADOS
3001315;LIMPIAVIDRIOS x 01 LITRO;Und;LINEA DESINFECTANTES
3001176;CLING 15 PULG. R x 1500 MTS;Und;ECOBYC CLING FILM
3000244;FERRINOX 200 P x 20 KGS;Und;FOSFATOS FABRICADOS
3001313;JABON MULTIUSOS x 04 LITRO;Und;LINEA DESINFECTANTES
3000371;OPTIUM 2T JASO FB EN 1/4 GAL;Und;LUBRICANTES FABRICAD
3000201;COLD STRIP 130 x  04 KGS;Und;FOSFATOS FABRICADOS
3000979;UNICKLAT AC ZYN BRIGHTENER x 05 Gal;Und;ADITIVOS FABRICADOS
3000896;EQ. TRATAMIENTO DE AGUAS 2000 LTS;;PLANTA TTO DE AGUAS
3000148;CARBON ACTIVADO X 20 KGS;KGS;SALES
3001537;CLORURO DE BARIO AL 10% x LITRO;LTS;REACTIVOS
5000737;SHAFT GA02 OPTIGUN;Und;REPUESTOS FINISHING
9000049;COMISIONES POR VENTAS A TERCEROS;Und;OTROS INGRESOS
9000020;FLETES TERRESTRES CLIENTES;Und;OTROS INGRESOS
5000640;TOBERA DE INYECCION PLANA;Und;REPUESTOS FINISHING
3000587;SILVER OLD x 04 LITROS;Und;ADITIVOS FABRICADOS
3000139;BZ NC PARTE A BRIGHTENER x 04 KGS;Und;ADITIVOS FABRICADOS
9000063;FLETES TERRESTRES SIN IVA (TRACTO);Und;OTROS INGRESOS
3001413;SHAMPOO TAPICERIA HOGAR x 04 LITRO;Und;LINEA DESINFECTANTES
5000741;SUPER CORONA CPL PC01;Und;REPUESTOS FINISHING
3001155;OPTIUM BYC ANTICOR #7 x 05 GAL;Und;LUBRICANTES FABRICAD
3001257;OPTIUM BYC ANTICOR #5 x 01 GAL;Und;LUBRICANTES FABRICAD
3000576;ROLLO YUMBO 50x15x4500 BYCSA;Und;ROLLOS FABRICADOS
5000647;TORNILLO;Und;REPUESTOS HOT MELT
3000442;OPTIUM HIDRAFLUID 68 x 55 GAL;Und;LUBRICANTES FABRICAD
5000226;ELECTRODO FLUJO CIRCULAR;Und;REPUESTOS FINISHING
5001218;MEDIDOR;Und;REPUESTOS FINISHING
3000650;TADALCHAIN 220 MS x 05 GAL;Und;LUBRICANTES COMERCIA
5000054;BOLSAS CESTAS 05 CM x 25 CM x 30 CM;Und;RPTO LINEA GALVANICA
3001285;ELITE CAR TECHNOSYNT 10W30 SN x 01 GAL;Und;LUBRICANTES GOODYEAR
3001299;ELITE GEAR 85W140 GL-5 x 1/4 GALON;Und;LUBRICANTES GOODYEAR
3000141;BZ NC PARTE B BOOSTER x 04 KGS;Und;ADITIVOS FABRICADOS
3000343;MIRALLOY TIN SALT;Und;METALES PRECIOSOS
3000422;OPTIUM GUIDE  32 x 05 GAL;Und;LUBRICANTES FABRICAD
3000300;IRON BLACK x 10 KGS;Und;ADITIVOS FABRICADOS
3000187;CLING 12 PULG. R x 0600 MTS;Und;ECOBYC CLING FILM
5001493;KIT,REBUILD,MR1300 MODS;Und;REPUESTOS HOT MELT
5001130;ANGLE MUZZLE 45� CPL. PA01;Und;REPUESTOS FINISHING
3001303;LAVALOZAS LIQUIDO x 01 LITRO;Und;LINEA DESINFECTANTES
3001406;SUAVIZANTE LIQUIDO FLORAL x 01 LITRO;Und;LINEA DESINFECTANTES
3000066;ANTIOXIDANTE NT x GAL.;Und;FOSFATOS FABRICADOS
3000856;ROLLO MADRE PRE-ESTIRADO BYCSA;Und;ROLLOS FABRICADOS
5000591;SNSR ASY HPR MNFLD DCL;Und;REPUESTOS HOT MELT
3001367;GOODYEAR HIDRA 68  X 05 GA;Und;LUBRICANTES GOODYEAR
3001563;OPTIUM SAE 50 x 01 GAL;Und;LUBRICANTES FABRICAD
3000741;VICAFIL TFH 1551 x 200 KGS;Und;JABONES TREFILACION
3001443;ELITE MOTOBIKE 4T 10W30 TECHNOSYNT JASO MA-2 X 1/4 GAL;Und;LUBRICANTES GOODYEAR
3000962;BYCLENE ZCA X 200 KGS REPROCESO;Und;ADITIVOS FABRICADOS
3001341;OPTIUM GUIDE 220 x 55 GAL;Und;LUBRICANTES FABRICAD
5001419;INLINE-INJECTOR IG07;Und;REPUESTOS FINISHING
3000570;ROLLO SIGMAPLAST 45x15x450 BYCSA;Und;ROLLOS FABRICADOS
3001346;OPTIUM SAE 20W 50 SJ x 01 CUARTO DE  GAL;Und;LUBRICANTES FABRICAD
3000407;OPTIUM ENGRAFLUID 320 x 05 GAL;Und;LUBRICANTES FABRICAD
3001102;CUPRACID 210 A EUR x 20 KGS;Und;ADITIVOS COMERCIALIZ
3001362;OPTIUM HIDRAFLUID 22 X 55 GAL;Und;LUBRICANTES FABRICAD
3001066;BYC RESIN CT x 200 KGS;Und;LINEA DE PAPEL
3001467;JABON LIQUIDO PARA MANOS HONEY AVENA x 04 LITRO;Und;LINEA DESINFECTANTES
3000875;OPTIUM SAE 10W 30 SN x 05 GAL;Und;LUBRICANTES FABRICAD
3000449;OPTIUM SAE 10W 30 SN x GALON;Und;LUBRICANTES FABRICAD
3001458;ELITE GEAR 85W140 GL-5 x 05 GAL;Und;LUBRICANTES GOODYEAR
5001471;MOTOR ZA07 CPL/BAUER;Und;REPUESTOS FINISHING
3000016;ACIDO SULFAMICO X 1 KG.;kgs;REACTIVOS
3000922;ROLLO SIGMAPLAST 45x15x300 BYCSA;Und;ROLLOS FABRICADOS
AF1520B0070;M�QUINA DE LLENADO DE AEROSOL SEMIAUTOMATICA SET;;ADITIVOS COMERCIALIZ
3001463;ELITE MOTOBIKE TECHNOSYNT 4T 10W40 JASO MA-2 X 1/4 GAL;Und;LUBRICANTES GOODYEAR
3001104;CUPRACID 210 MAKE-UP EUR x 20 KG;Und;ADITIVOS COMERCIALIZ
3001464;ELITE MOTOBIKE  4T FULL SYNT 10W40  JASO MA-2 X 1/4 GAL (4/GAL);Und;LUBRICANTES GOODYEAR
5000405;NOZZLE FIXATION;Und;REPUESTOS FINISHING
3001399;LIMPIADOR DESINFECTANTE PINO x 20 LITRO;Und;LINEA DESINFECTANTES
5000829;F-TROLLEY;Und;REPUESTOS FINISHING
5000059;BOLSAS CESTAS 60 CM x 25 CM x 05 CM;Und;RPTO LINEA GALVANICA
3000111;BYC AU 68 x GRAMO;Und;METALES PRECIOSOS
5001032;FILTER ELEMENT IG07;Und;REPUESTOS FINISHING
3001480;ELITE TRUCK TURBO 15W40 CF-4 x 05  GAL;Und;LUBRICANTES GOODYEAR
3001452;VICAFIL SL 3400 X 20 KGS;Und;JABONES TREFILACION
5001101;TUBO CENTRIFUGA;Und;RPTO LINEA GALVANICA
3001400;LIMPIADOR DESINFECTANTE FLORAL x 01 LITRO;Und;LINEA DESINFECTANTES
3000853;FOSFEX 90 LE x GAL (CONTENEDOR);Und;FOSFATOS FABRICADOS
3001159;GEL ANTIBACTERIAL EP x 1000 ML;UND;LINEA DESINFECTANTES
3000399;OPTIUM EMULBYC AC 110 x 55 GAL;Und;LUBRICANTES FABRICAD
5000298;HTR ASY DMSR PUMP MNFLD;Und;REPUESTOS HOT MELT
5000803;POWDER TUBE CPL GA01/GA02;Und;REPUESTOS FINISHING
3000341;MIRALLOY COPPER SOLUTION;Und;METALES PRECIOSOS
3000193;CLORURO DE BARIO AL 30% x LITRO;LTS;REACTIVOS
3000406;OPTIUM ENGRAFLUID 220 x 55 GAL;Und;LUBRICANTES FABRICAD
5001033;HOSE CONNECTION CPL IG07;Und;REPUESTOS FINISHING
3000198;CLORURO POTASIO ALTA PUREZA x 05 KGS;KGS;SALES
3000514;PULIBRILL AB 405 x 25 KGS;Und;ADITIVOS FABRICADOS
3001485;GOODYEAR HYDRA 46 X 55 GAL;Und;LUBRICANTES GOODYEAR
5001034;AXIAL GASKET IG07;Und;REPUESTOS FINISHING
3000253;FOSFATION 23 S X 05 GAL;Und;FOSFATOS FABRICADOS
5000328;JUNTA TORICA D28.30 x 1.78 NITR;Und;REPUESTOS FINISHING
AF1540M0009;VEHICULO MAZDA CX5 GRAND-CONTRATO 190611;;OTROS INGRESOS
3001236;BRONCE BLANCO 82-C x 20 KGS;Und;ADITIVOS FABRICADOS
3000666;TADALSOL A-4 x 05 GAL;Und;LUBRICANTES FABRICAD
3001297;ELITE GEAR 80W90 GL-5 x 01  GAL;Und;LUBRICANTES GOODYEAR
3001021;HONORARIOS POR COBRO DE CARTERA;Und;OTROS INGRESOS
3001378;JABON LIQUIDO PARA MANOS AGUA FRESCA x 04 LITRO;Und;LINEA DESINFECTANTES
3000065;ANODOS PLOMO  90 CMS CON GANCHO;KGS;ANODOS Y METALES
5000555;ROUND JET NOZZLE NS04;Und;REPUESTOS FINISHING
9000058;GASTOS PAGADOS POR SU CUENTA;Und;OTROS INGRESOS
AF1540C0001;OPCION DE COMPRA VEHICULO STZ 282;;ADITIVOS COMERCIALIZ
3001036;OPTIUM GREASE EP-2 LIT - A x 16 KGS;Und;LUBRICANTES COMERCIA
3000543;ROLLO MANUAL 30x17x450 BYCSA;Und;ROLLOS FABRICADOS
